store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
257406274356679,60.0,0.0,24.0,0.0,168.0,0.0
309081616338296,0.0,0.0,-11.090501026666663,0.0,168.0,0.0
2570905277901393,0.0,-1.2195809166666665,1.3748590751275556,22.625140924872447,-98.60800299194435,16.09366911305553
2843799253836859,0.0,0.0,0.0,24.0,0.0,-27.008358543055675
3225796639170927,0.0,0.0,24.0,0.0,-15.991657074444408,0.0
4518233183474396,0.0,0.0,-14.012463159444447,0.0,-28.93243845527775,0.0
4647420561423097,0.0,0.0,-2.0030308016666645,0.0,-8.083008941111125,0.0
5256638191399657,0.0,0.0,-21.920075874722222,0.0,-42.346846615277755,0.0
5970103147320386,-48.370191516666665,0.0,-22.05022221527778,0.0,168.0,0.0
7234497837508091,0.0,0.0,0.0,24.0,353.98428468296675,-185.9842846829667
8190313151562460,0.0,0.0,0.0,24.0,0.0,168.0
8636530640121278,0.0,0.0,-1.0037315394444453,0.0,-27.07696952749993,0.0
10698744144787762,0.0,0.0,-1.9990390358333348,0.0,-32.919967683333304,0.0
10913998916849586,0.0,0.0,-5.0795859552777785,0.0,168.0,0.0
11559715717939685,0.0,0.0,0.0,-2.0547029369444454,0.0,-22.858340956666712
11670395796048660,0.0,0.0,0.0,-17.00159169472223,0.0,-51.220994596111154
11892938598446047,0.0,0.0,0.0,-2.006351708055556,0.0,-142.68941337722222
12292291527292130,0.0,0.0,-1.996924133611105,0.0,168.0,0.0
12554962621156313,0.0,0.0,23.999999999999996,0.0,167.99999999999997,0.0
12572597046904092,0.0,0.0,-1.000882665277778,0.0,-144.03331286444444,0.0
14612117531645091,0.0,0.0,24.0,0.0,-50.01920358249999,0.0
14830874186554081,60.0,0.0,-17.003473002777785,0.0,-4.8987222022221895,0.0
14964749219696430,0.0,0.0,24.0,0.0,168.0,0.0
14970930663539276,60.0,0.0,-3.998513605833337,0.0,168.0,0.0
15554192475044929,0.0,-49.65362521666667,0.0,-4.01294910583333,0.0,-15.095406686944383
15594282037189158,0.0,0.0,24.0,0.0,-23.11428085388886,0.0
16606301345740600,-3.2011843499999997,0.0,24.0,0.0,168.0,0.0
17985349924445228,0.0,0.0,24.0,0.0,-69.61086125833336,0.0
18176576077807854,0.0,0.0,0.0,24.0,37.65519195323672,130.34480804676326
18321116186166234,0.0,0.0,23.999999999999996,0.0,-138.08702313333328,0.0
18505617914966079,0.0,0.0,-4.951932556111116,0.0,-118.86010803361114,0.0
18920323356347157,0.0,0.0,24.0,0.0,-29.080508766111276,0.0
20876078165737550,-6.15471395,0.0,-5.999952733611119,0.0,-5.999952733610941,-23.98079296472222
21324801088409750,0.0,0.0,-20.029182118055562,0.0,-142.28186576000004,0.7013510311111111
22284400831843180,0.0,0.0,0.0,-1.1139930283333332,-0.048122400555551316,-24.128951081944443
22400430932457551,0.0,0.0,24.0,0.0,168.0,0.0
22714854872571546,0.0,-45.27389913333333,0.0,-3.1244840144444384,0.0,168.0
23037829828311628,-7.214983016666666,0.0,23.88606791980304,0.11393208019696344,14.226708886785152,153.77329111321484
25335725383824630,0.0,0.0,24.0,0.0,168.0,0.0
